"country","year","y","x1"
"1",1,1990,1342787840,0.277903646230698
"2",1,1991,-1899660544,0.3206847012043
"3",1,1992,-11234363,0.36346572637558
"4",1,1993,2645775360,0.246144041419029
"5",1,1994,3008334848,0.424623042345047
"6",1,1995,3229574144,0.477214127779007
"7",1,1996,2756754176,0.499805003404617
"8",1,1997,2771810560,0.0516283884644508
"9",1,1998,3397338880,0.366410791873932
"10",1,1999,39770336,0.395842522382736
"11",2,1990,-5934699520,-0.0818499773740768
"12",2,1991,-711623744,0.106160014867783
"13",2,1992,-1933116160,0.353785187005997
"14",2,1993,3072741632,0.726776957511902
"15",2,1994,3768078848,0.719394862651825
"16",2,1995,2837581312,0.671546578407288
"17",2,1996,577199360,0.81985729932785
"18",2,1997,1786851584,0.880167186260223
"19",2,1998,-149072048,0.704516112804413
"20",2,1999,-1174480128,0.23696731030941
"21",3,1990,-1292379264,1.31256067752838
"22",3,1991,-3415966464,1.17748355865479
"23",3,1992,-355804672,1.25640797615051
"24",3,1993,1225180032,1.42154455184937
"25",3,1994,3802287616,1.11419308185577
"26",3,1995,1959696640,1.15948390960693
"27",3,1996,530576672,1.16045427322388
"28",3,1997,3128852224,1.44641160964966
"29",3,1998,3201045760,1.15162670612335
"30",3,1999,4663067648,1.19054412841797
"31",4,1990,1883025152,-0.313912689685822
"32",4,1991,6037768704,0.360091000795364
"33",4,1992,10244189,0.0518877021968365
"34",4,1993,5067265024,0.209443539381027
"35",4,1994,3882478336,0.382070004940033
"36",4,1995,8827006976,0.242085799574852
"37",4,1996,5782000128,0.486366778612137
"38",4,1997,5090524160,0.359425991773605
"39",4,1998,1850565248,0.232203513383865
"40",4,1999,-2025476864,-0.0799889639019966
"41",5,1990,1342787840,0.452867150306702
"42",5,1991,2296009472,0.419040322303772
"43",5,1992,1737627776,0.38521346449852
"44",5,1993,113973136,-0.244287729263306
"45",5,1994,260098048,1.39113998413086
"46",5,1995,-7863482880,0.319685578346252
"47",5,1996,3520491520,0.610976815223694
"48",5,1997,5234565120,0.717614948749542
"49",5,1998,344746176,0.696138262748718
"50",5,1999,243920688,0.606620669364929
"51",6,1990,1342787840,-0.567574858665466
"52",6,1991,3560401920,0.159745782613754
"53",6,1992,3192281088,0.887066423892975
"54",6,1993,8941232128,0.532417953014374
"55",6,1994,8124504576,0.872600138187408
"56",6,1995,491740096,0.919352293014526
"57",6,1996,3497164544,1.39689230918884
"58",6,1997,4764803072,0.986886084079742
"59",6,1998,-4671723520,0.788309097290039
"60",6,1999,6349319168,0.279386967420578
"61",7,1990,1342787840,0.944881737232208
"62",7,1991,-1518985728,1.09872829914093
"63",7,1992,1912769920,1.2525749206543
"64",7,1993,1345690240,0.762764513492584
"65",7,1994,2793515008,1.20645558834076
"66",7,1995,1323696384,1.08718645572662
"67",7,1996,254524176,0.781075477600098
"68",7,1997,3297033216,1.25787949562073
"69",7,1998,3011820800,1.24277663230896
"70",7,1999,3296283392,1.23420023918152
