   5.55,   6.95
   4.10,   8.15
   5.35,   8.60
   4.60,   8.40
   4.10,   7.35
   5.15,   6.90
   5.10,   6.25
   4.20,   7.50
   5.35,   8.30
   5.75,   7.10
   4.25,   7.25
   4.10,   8.00
   4.60,   8.20
   4.60,   6.05
   4.95,   7.60
   4.10,   7.60
   4.85,   7.25
   5.15,   8.25
   4.45,   7.05
   4.40,   6.60
   3.30,   7.65
   3.35,   7.85
   3.15,   7.20
   3.30,   8.15
   4.20,   5.95
   3.00,   6.40
   6.10,   4.50
   4.90,   7.90
   2.65,   6.45
   3.40,   7.15
   4.20,   8.35
   2.95,   7.45
   3.95,   7.00
   5.15,   6.60
   4.15,   7.15
   4.25,   7.95
   3.50,   5.95
   3.85,   7.35
   3.20,   8.15
   4.60,   6.05
   3.65,   5.30
   3.65,   5.35
   2.40,   6.05
   1.90,   5.75
   3.45,   6.00
   3.75,   6.45
   3.55,   5.10
   3.70,   5.05
   2.15,   4.20
   3.55,   5.85
   2.65,   6.85
   2.65,   5.55
   1.85,   6.70
   4.00,   6.70
   3.25,   7.15
   3.90,   7.15
   4.30,   5.55
   2.20,   5.40
   3.60,   6.25
   3.10,   5.55
   3.85,   7.60
   4.00,   7.50
   3.75,   6.30
   2.45,   5.80
   3.00,   6.70
   3.30,   5.60
   5.65,   6.10
   4.10,   5.70
   4.95,   6.30
   3.45,   7.25
   3.25,   6.90
   3.60,   7.30
   2.70,   5.35
   4.10,   6.35
   2.95,   5.25
   2.00,   6.55
   3.80,   6.50
   1.85,   7.45
   1.60,   7.25
   3.35,   6.80
