"Phys" "Stat" "English"
"1" 45.83286 49.73412 73.20617090675
"2" 66.24545 64.87357 75.3696983692935
"3" 54.84116 50.45485 78.1756906624177
"4" 52.73309 52.98077 72.7392486515074
"5" 55.22804 57.51052 74.839496486898
"6" 36.71771 38.1294 75.2648405687622
"7" 70.60068 71.31107 76.4159094585435
"8" 46.58481 43.0755 74.5206039516563
"9" 37.61019 37.06575 78.9689478733059
"10" 54.4459 52.86622 74.7224259757607
"11" 42.65069 48.93422 75.8353015015851
"12" 54.37827 56.17238 76.9635055549273
"13" 55.48877 54.14389 74.2146092889924
"14" 54.75712 54.90254 72.9206620461022
"15" 58.49035 54.28524 78.5644579206171
"16" 36.50214 37.7616 70.3778618307897
"17" 57.46308 56.18982 76.7572091618425
"18" 50.88379 50.22294 75.0716134360304
"19" 66.00721 63.74446 77.0256573842542
"20" 40.21083 40.01258 75.8645303090792
"21" 62.80092 65.38431 79.1816384104983
"22" 52.6778 53.11069 72.6001483607123
"23" 46.37766 44.08331 78.1792764005801
"24" 62.1887 59.14436 78.9093032844465
"25" 67.25034 68.91049 75.0098755536563
"26" 46.94243 46.7534 70.0965872243078
"27" 40.7363 44.2691 75.9544746052272
"28" 44.16992 40.07929 73.8068836627372
"29" 63.06225 61.06836 76.5844065405993
"30" 21.46127 27.51049 75.5792734203547
"31" 53.06325 56.62534 76.4778772075242
"32" 46.75746 44.27409 75.6379208021953
"33" 42.62306 40.81727 77.152328707624
"34" 37.1718 38.58767 74.4316845590235
"35" 35.69836 30.63126 73.4466494520405
"36" 45.89923 43.99144 73.8086790026164
"37" 58.04152 59.51573 71.5480404417079
"38" 54.64092 53.74517 73.1948310404726
"39" 41.41039 36.76394 73.8818761701991
"40" 63.12466 62.46416 74.506974865333
"41" 41.00973 40.00774 74.2328275431371
"42" 44.99261 46.69961 71.0817936496657
"43" 44.93524 46.71632 73.3165898797288
"44" 37.29267 37.14477 78.8070949346953
"45" 58.34537 55.47421 76.2449878602415
"46" 53.43469 55.79567 78.9818408711606
"47" 45.36934 47.71729 74.3890325503171
"48" 52.06818 46.96069 74.8183115295985
"49" 49.16137 50.08758 74.6316770968975
"50" 51.86147 56.27546 72.6024644693852
"51" 56.58516 55.46879 73.3234257047959
"52" 41.69534 41.89212 79.1326027114625
"53" 62.34281 62.01932 73.875505893315
"54" 39.80478 38.39744 77.5514310237018
"55" 56.0382 57.49428 72.90485474601
"56" 44.01542 44.95353 71.0682435171053
"57" 45.22847 45.33766 74.3540578124801
"58" 61.32475 61.32643 76.8717250536173
"59" 45.68322 47.66341 77.2784596054682
"60" 48.14822 47.1341 78.343237534652
"61" 57.17597 57.60514 71.4235155864703
"62" 46.44202 41.33925 79.0624850375105
"63" 35.24607 35.90807 73.5937113340122
"64" 55.56036 49.76122 75.3163295251202
"65" 41.04521 45.28572 76.0124695949614
"66" 51.67046 50.16363 73.3600097887676
"67" 52.93516 49.51824 71.0023060100717
"68" 35.84404 33.17955 74.0414148170967
"69" 47.15922 44.82814 75.1683598086445
"70" 60.08049 61.18417 73.2090267786734
"71" 55.10556 54.57818 73.1574486689845
"72" 50.66494 46.00166 75.6608990069306
"73" 63.17677 60.00211 74.7166783821278
"74" 49.47325 51.27673 75.8696955230054
"75" 44.17665 51.33226 74.8925547479656
"76" 35.61826 37.75184 73.185779248813
"77" 47.6078 49.91266 77.6070244648445
"78" 62.02337 64.34087 76.5435795510797
"79" 47.17575 49.49582 77.1050511906153
"80" 59.63255 54.04946 72.1799233186726
"81" 46.66867 47.50897 76.9919691795555
"82" 41.92247 43.92537 71.608470193242
"83" 58.06207 59.25163 73.9332557149056
"84" 63.70322 63.36367 72.2554610977138
"85" 53.54859 54.65436 70.5841604423907
"86" 54.28997 52.04134 78.6442450375071
"87" 61.45739 62.29298 73.6932131783624
"88" 48.42434 49.98111 74.4306375612899
"89" 47.02817 48.76383 74.2261007927101
"90" 56.68283 54.01947 75.7733899492922
"91" 47.39154 49.38044 78.200781703079
"92" 53.48607 51.11642 78.3623099115336
"93" 57.12145 52.61662 72.6327872235455
"94" 62.14516 59.79395 72.2830854928736
"95" 52.54617 47.44484 71.974658410558
"96" 56.72894 56.57045 72.4937902012616
"97" 45.37159 43.3991 78.9187141542912
"98" 29.57351 35.60014 75.0152917442655
"99" 46.26462 41.10685 73.3147696048207
"100" 53.3189 48.86226 73.7976797896953
