"adv" "sales"
"1" 0.1 13.686650994484
"2" 0.2 6.42944839411881
"3" 0.3 10.5078537734906
"4" 0.4 9.98178989821131
"5" 0.5 8.93189650313252
"6" 0.6 10.2000308768875
"7" 0.7 16.7946716792213
"8" 0.8 11.6407092651425
"9" 0.9 3.366087527796
"10" 1 13.4705537558509
"11" 1.1 18.0334530276814
"12" 1.2 19.2902785817572
"13" 1.3 20.1533390873872
"14" 1.4 9.4614923956546
"15" 1.5 20.606210290056
"16" 1.6 24.4312960497353
"17" 1.7 26.7933934073383
"18" 1.8 20.0931936447794
"19" 1.9 20.405037069086
"20" 2 30.2391891593902
"21" 2.1 15.2348597711034
"22" 2.2 22.1538501154344
"23" 2.3 27.3778103967873
"24" 2.4 17.7431311730939
"25" 2.5 27.9606393121588
"26" 2.6 36.671320105261
"27" 2.7 27.9701967328183
"28" 2.8 27.2957298751821
"29" 2.9 31.7490585701703
"30" 3 28.6546391460635
"31" 3.1 34.7815018703953
"32" 3.2 35.8901773222485
"33" 3.3 32.0239583061506
"34" 3.4 26.7585392112514
"35" 3.5 26.6713963627046
"36" 3.6 30.9070131717234
"37" 3.7 38.4574025027492
"38" 3.8 25.2669741267154
"39" 3.9 26.2028742063373
"40" 4 32.9311008761995
"41" 4.1 38.7264742399029
"42" 4.2 32.730169759175
"43" 4.3 42.2642451854803
"44" 4.4 40.0188498507759
"45" 4.5 38.0093019088069
"46" 4.6 43.4561406826589
"47" 4.7 41.7923258140968
"48" 4.8 38.0983248639392
"49" 4.9 41.9500746720908
"50" 5 44.487566789888
"51" 5.1 43.4759167243102
"52" 5.2 38.8379489602526
"53" 5.3 46.826511025321
"54" 5.4 48.7266811277931
"55" 5.5 44.7438727827167
"56" 5.6 44.4725233123109
"57" 5.7 43.7523745961008
"58" 5.8 55.3050792315139
"59" 5.9 46.236077660679
"60" 6 44.4085298565003
"61" 6.1 32.9949109890137
"62" 6.2 38.0315911748473
"63" 6.3 45.7821339969472
"64" 6.4 47.5034702242155
"65" 6.5 48.1468622943081
"66" 6.6 51.1495339022431
"67" 6.7 46.3397379533977
"68" 6.8 53.6409439724128
"69" 6.9 43.2069197856521
"70" 7 42.0077863977847
"71" 7.1 42.1295691122309
"72" 7.2 52.1994851209326
"73" 7.3 48.2759002883039
"74" 7.4 52.8310896091025
"75" 7.5 47.7239678922146
"76" 7.6 46.2725394889359
"77" 7.7 47.5487371243675
"78" 7.8 40.2749158787913
"79" 7.9 43.8264236979294
"80" 8 42.5898267682077
"81" 8.1 55.1861113598767
"82" 8.2 47.031349543186
"83" 8.3 54.0577992639509
"84" 8.4 57.7744530084598
"85" 8.5 49.3036259544503
"86" 8.6 51.7413945317618
"87" 8.7 41.6151624030196
"88" 8.8 46.314651112401
"89" 8.9 50.7155742469142
"90" 9 51.9454345166808
"91" 9.1 46.6575094135056
"92" 9.2 63.872294996134
"93" 9.3 48.138549304538
"94" 9.4 50.7232177831502
"95" 9.5 53.6114593357676
"96" 9.6 50.18190682613
"97" 9.7 47.0326630648644
"98" 9.8 55.4045283198165
"99" 9.9 58.172226616036
"100" 10 49.8515301447508
