"x" "y"
"1" 0.2655086631421 1
"2" 0.37212389963679 1
"3" 0.572853363351896 0
"4" 0.908207789994776 1
"5" 0.201681931037456 0
"6" 0.898389684967697 1
"7" 0.944675268605351 1
"8" 0.660797792486846 1
"9" 0.62911404389888 0
"10" 0.0617862704675645 0
"11" 0.205974574899301 0
"12" 0.176556752528995 1
"13" 0.687022846657783 1
"14" 0.384103718213737 0
"15" 0.769841419998556 1
"16" 0.497699242085218 0
"17" 0.717618508264422 1
"18" 0.991906094830483 1
"19" 0.380035179434344 1
"20" 0.777445221319795 1
"21" 0.934705231105909 0
"22" 0.212142521282658 0
"23" 0.651673766085878 1
"24" 0.125555095961317 0
"25" 0.267220668727532 0
"26" 0.386114092543721 0
"27" 0.0133903331588954 0
"28" 0.382387957070023 1
"29" 0.86969084572047 1
"30" 0.34034899668768 1
"31" 0.482080115471035 0
"32" 0.599565825425088 0
"33" 0.493541307048872 0
"34" 0.186217601411045 0
"35" 0.827373318606988 1
"36" 0.668466738192365 0
"37" 0.79423986072652 0
"38" 0.107943625887856 0
"39" 0.723710946040228 0
"40" 0.411274429643527 1
